ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
UPST,0.34436738858350624,120d,-0.3121193339862596,-0.23626464639177922,0.2416483795058808,0.3817511333560941,0.5456537213614762,0.5666666666666667,0.567,0.6,0.3,0.3,0.4,30,10,Financials,,"Upstart Holdings, Inc.",2.7
VG,0.27381969638422055,120d,-0.3707418471079903,0.1836822925589215,0.44444666364341034,0.6216909505202217,0.8714766183315895,0.75,0.75,0.75,0.5,0.5,0.5,8,4,Energy,,"Venture Global, Inc.",1.13
TMDX,0.2553615530480715,120d,-0.5152229249283776,-0.215298881448529,0.42544894259842625,0.7856884687543518,0.9392666815374485,0.6,0.6,0.567,0.6,0.6,0.5,30,10,Healthcare,,"TransMedics Group, Inc.",1.26
VSAT,0.2494016506987884,120d,-0.1810358509294388,-0.022397204793715236,0.3684239571515455,0.7147486111809179,0.9755540572966424,0.6666666666666666,0.633,0.567,0.7,0.7,0.7,30,10,Technology,,"Viasat, Inc.",2.05
CHTR,0.22641042723261906,120d,-0.30571503580276554,-0.23868752158758652,0.05580662831236549,0.15477181706884224,0.23912751184315498,0.5333333333333333,0.533,0.6,0.4,0.4,0.5,30,10,Communication Services,Telecom Services,"Charter Communications, Inc.",0.68
ESLT,0.2190626464360852,120d,-0.048285401722349144,0.08312524305439817,0.5704401806290536,0.7547557370193287,0.9606727060263617,0.8333333333333334,0.7,0.7,0.9,0.7,0.7,30,10,Industrials,,Elbit Systems Ltd.,0.37
LBRDK,0.20733948106020184,120d,-0.2969271055754259,-0.19299957729480455,0.04726667534309403,0.1060989362816267,0.12335779043694232,0.5333333333333333,0.333,0.667,0.4,0.3,0.6,30,10,Communication Services,,Liberty Broadband Corporation,0.71
JBS,0.19883340634887126,120d,-0.07013121535971235,-0.008204927081203017,0.2025315989666574,0.2360471668734644,0.2903815887754418,0.7142857142857143,0.571,0.714,0.667,0.333,0.667,7,3,Consumer Staples,,JBS N.V.,0.14
BTC,0.1879932617585206,120d,-0.2990827468201016,-0.22294694458998995,0.14749797666957642,0.20259542850618778,0.383916809663445,0.6363636363636364,0.636,0.636,0.5,0.5,0.5,22,8,Crypto,,Grayscale Bitcoin Mini Trust (BTC),1.4
ALGM,0.17526903991266252,120d,-0.21777962866635192,-0.05964606894818081,0.24854718360308692,0.3734522811306514,0.4688805737230868,0.7,0.7,0.7,0.7,0.7,0.7,30,10,Semiconductors,Semiconductors,"Allegro MicroSystems, Inc.",2.23
BBIO,0.16853073696245924,120d,-0.14063749146716767,0.019900140712389575,0.3813354088495763,0.4545727901923454,0.4877938570807909,0.7333333333333333,0.733,0.567,0.7,0.7,0.6,30,10,Biotech,Biotechnology,"BridgeBio Pharma, Inc.",1.19
