run_date,ticker,horizon,predicted_edge,sector,p10,p90
2026-02-23,CHYM,5d,0.057336,Technology,-0.00852,0.109486
2026-02-23,ALHC,20d,0.153501,Healthcare,-0.143735,0.425755
2026-02-23,CHYM,20d,0.226032,Technology,0.044465,0.338204
2026-02-23,ALHC,60d,0.137166,Healthcare,-0.08941,0.641688
2026-02-23,CCI,60d,0.148657,Real Estate,-0.058667,0.215091
2026-02-23,SLNO,60d,0.265176,Biotech,-0.250003,6.69149
2026-02-23,STNE,60d,0.223056,Technology,-0.21196,0.432242
2026-02-23,ACLX,120d,0.372244,Biotech,-0.160176,0.938368
2026-02-23,APLS,120d,0.282303,Biotech,-0.459669,0.963361
2026-02-23,CRSP,120d,0.315577,Biotech,-0.166289,0.649396
2026-02-23,FICO,120d,0.265201,Technology,-0.29075,0.636676
2026-02-23,HIMS,120d,0.263292,Healthcare,-0.29945,1.218379
2026-02-23,LIF,120d,0.24819,Technology,-0.464875,0.61005
2026-02-23,METC,120d,0.488169,Materials,-0.340908,1.393375
2026-02-23,MMYT,120d,0.267291,Consumer Discretionary,-0.287107,0.587668
2026-02-23,OSCR,120d,0.332177,Healthcare,-0.151908,1.389586
2026-02-23,QXO,120d,0.346883,Industrials,-0.829797,3.558958
2026-02-23,SLNO,120d,0.641478,Biotech,-0.111459,10.883524
2026-02-23,SMCI,120d,0.449924,Technology,-0.415763,2.420579
2026-02-23,STNE,120d,0.298849,Technology,-0.31521,0.842692
2026-02-23,UBER,120d,0.244876,Technology,-0.035448,0.670371
2026-02-24,CHYM,20d,0.123025,Technology,-0.110487,0.167383
2026-02-24,KRMN,20d,0.119465,Industrials,-0.240848,0.570205
2026-02-24,ATRO,60d,0.229307,Defense,-0.08484,0.583918
2026-02-24,CGON,60d,0.202369,Biotech,-0.262118,0.545413
2026-02-24,COPX,60d,0.160825,Materials,-0.080936,0.381253
2026-02-24,ESLT,60d,0.175085,Industrials,-0.04652,0.73078
2026-02-24,SLVP,60d,0.17485,Materials,0.023177,0.415072
2026-02-24,SPHR,60d,0.166954,Communication Services,-0.338052,0.655353
2026-02-24,WDC,60d,0.195339,Technology,-0.155842,0.860271
2026-02-24,AG,120d,0.260455,Materials,-0.138501,1.19125
2026-02-24,AMAT,120d,0.253582,Semiconductors,-0.074151,0.920929
2026-02-24,ASML,120d,0.314467,Semiconductors,-0.136198,0.751552
2026-02-24,ATRO,120d,0.304881,Defense,0.084482,1.097582
2026-02-24,CELC,120d,0.305798,Biotech,-0.123555,2.57592
2026-02-24,COGT,120d,0.291642,Biotech,-0.288599,2.328845
2026-02-24,EWY,120d,0.263242,,-0.041931,0.785238
2026-02-24,FIVE,120d,0.252339,Consumer Discretionary,-0.427638,0.47334
2026-02-24,KRYS,120d,0.253951,Biotech,-0.114922,0.79842
2026-02-24,REMX,120d,0.274459,Materials,-0.233548,0.689436
2026-02-24,TTMI,120d,0.473069,Technology,0.116006,1.130043
2026-02-24,VSAT,120d,0.555302,Technology,-0.378105,1.348543
2026-02-25,ACMR,20d,0.136707,Semiconductors,-0.191434,0.335703
2026-02-25,FNGD,20d,0.167245,,-0.157578,0.266779
2026-02-25,ALB,60d,0.284924,Materials,-0.322074,0.820597
2026-02-25,CGON,60d,0.246087,Biotech,-0.227223,0.562783
2026-02-25,FOLD,60d,0.254478,Biotech,-0.268983,0.675501
2026-02-25,FORM,60d,0.437894,Technology,-0.156163,0.720329
2026-02-25,LITE,60d,0.580752,Technology,-0.199943,1.297035
2026-02-25,MU,60d,0.28192,Technology,-0.123068,0.940789
2026-02-25,TER,60d,0.316022,Technology,-0.304481,0.625319
2026-02-25,VICR,60d,0.473453,Technology,-0.166572,1.279556
2026-02-25,VSCO,60d,0.256267,Consumer Discretionary,-0.286749,0.909632
2026-02-25,WDC,60d,0.369212,Technology,-0.093275,0.932016
2026-02-25,AG,120d,0.358168,Materials,-0.170699,1.499355
2026-02-25,ASML,120d,0.301577,Semiconductors,-0.111607,0.885817
2026-02-25,ATRO,120d,0.307323,Defense,0.15432,1.116786
2026-02-25,CELC,120d,0.426052,Biotech,-0.241957,2.739883
2026-02-25,CGON,120d,0.545928,Biotech,-0.169692,1.057876
2026-02-25,CHYM,120d,0.318029,Technology,-0.272897,0.323316
2026-02-25,COGT,120d,0.531669,Biotech,-0.304924,2.132102
2026-02-25,DOCN,120d,0.285551,Technology,-0.310249,1.231147
2026-02-25,FIVE,120d,0.325069,Consumer Discretionary,-0.389386,0.509149
2026-02-25,LNTH,120d,0.291484,Healthcare,-0.265508,0.514653
2026-02-25,REMX,120d,0.417095,Materials,-0.127695,0.548812
2026-02-25,SEB,120d,0.286124,Industrials,-0.150336,0.687908
