run_date,ticker,horizon,predicted_edge,actual_return,regime_alpha
2026-02-23,CHYM,5d,0.057336,0.168388,0.111052
2026-02-23,ALHC,20d,0.153501,-0.1201,-0.273601
2026-02-23,CHYM,20d,0.226032,0.021694,-0.204338
2026-02-23,ALHC,60d,0.137166,-0.177889,-0.315055
2026-02-23,CCI,60d,0.148657,0.066068,-0.082589
2026-02-23,STNE,60d,0.223056,-0.252349,-0.475405
2026-02-23,CRSP,120d,0.315577,-0.007966,-0.323543
2026-02-23,FICO,120d,0.265201,-0.15282,-0.418021
2026-02-23,HIMS,120d,0.263292,0.814958,0.551666
2026-02-23,LIF,120d,0.24819,0.09027,-0.15792
2026-02-23,METC,120d,0.488169,-0.287791,-0.77596
2026-02-23,MMYT,120d,0.267291,0.092783,-0.174508
2026-02-23,OSCR,120d,0.332177,1.631325,1.299148
2026-02-23,QXO,120d,0.346883,-0.413026,-0.759909
2026-02-23,SMCI,120d,0.449924,0.297297,-0.152627
2026-02-23,STNE,120d,0.298849,-0.306116,-0.604965
2026-02-23,UBER,120d,0.244876,0.073954,-0.170922
2026-02-24,CHYM,20d,0.123025,-0.093,-0.216025
2026-02-24,KRMN,20d,0.119465,0.218182,0.098717
2026-02-24,ATRO,60d,0.229307,0.070538,-0.158769
2026-02-24,CGON,60d,0.202369,0.110045,-0.092324
2026-02-24,COPX,60d,0.160825,-0.118453,-0.279278
2026-02-24,ESLT,60d,0.175085,0.010705,-0.16438
2026-02-24,SLVP,60d,0.17485,-0.205476,-0.380326
2026-02-24,SPHR,60d,0.166954,0.187174,0.02022
2026-02-24,WDC,60d,0.195339,0.699523,0.504184
2026-02-24,AG,120d,0.260455,-0.335533,-0.595988
2026-02-24,AMAT,120d,0.253582,0.418187,0.164605
2026-02-24,ASML,120d,0.314467,0.261633,-0.052834
2026-02-24,ATRO,120d,0.304881,0.468594,0.163713
2026-02-24,CELC,120d,0.305798,-0.126193,-0.431991
2026-02-24,COGT,120d,0.291642,-0.033435,-0.325077
2026-02-24,EWY,120d,0.263242,0.280526,0.017284
2026-02-24,FIVE,120d,0.252339,0.077507,-0.174832
2026-02-24,KRYS,120d,0.253951,0.257887,0.003936
2026-02-24,REMX,120d,0.274459,-0.166438,-0.440897
2026-02-24,TTMI,120d,0.473069,0.321275,-0.151794
2026-02-24,VSAT,120d,0.555302,0.698873,0.143571
2026-02-25,ACMR,20d,0.136707,-0.333431,-0.470138
2026-02-25,ALB,60d,0.284924,-0.130439,-0.415363
2026-02-25,CGON,60d,0.246087,0.133357,-0.11273
2026-02-25,FORM,60d,0.437894,0.209487,-0.228407
2026-02-25,LITE,60d,0.580752,0.333306,-0.247446
2026-02-25,MU,60d,0.28192,0.777203,0.495283
2026-02-25,TER,60d,0.316022,0.031368,-0.284654
2026-02-25,VICR,60d,0.473453,0.360773,-0.11268
2026-02-25,WDC,60d,0.369212,0.672771,0.303559
2026-02-25,AG,120d,0.358168,-0.370409,-0.728577
2026-02-25,ASML,120d,0.301577,0.185223,-0.116354
2026-02-25,ATRO,120d,0.307323,0.368701,0.061378
2026-02-25,CELC,120d,0.426052,-0.131682,-0.557734
2026-02-25,CGON,120d,0.545928,0.338656,-0.207272
2026-02-25,CHYM,120d,0.318029,0.511606,0.193577
2026-02-25,COGT,120d,0.531669,-0.064298,-0.595967
2026-02-25,DOCN,120d,0.285551,1.113211,0.82766
2026-02-25,FIVE,120d,0.325069,0.069072,-0.255997
2026-02-25,LNTH,120d,0.291484,0.324089,0.032605
2026-02-25,REMX,120d,0.417095,-0.220468,-0.637563
2026-02-25,SEB,120d,0.286124,-0.102686,-0.38881
2026-02-25,TTMI,120d,0.655091,0.154786,-0.500305
2026-02-25,VICR,120d,0.343118,0.229509,-0.113609
2026-02-25,VSAT,120d,0.595769,0.596097,0.000328
