ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
VG,50,-0.06444068421052632,19.0,0.3157894736842105
VICR,47,-0.07170804347826086,23.0,0.34782608695652173
LNTH,46,-0.1590954,5.0,0.0
BLSH,45,-0.006416649999999998,20.0,0.35
KRMN,43,-0.1356598,25.0,0.36
STX,42,-0.046948,1.0,0.0
ESLT,41,-0.099633625,8.0,0.125
CAR,41,-0.088734,2.0,0.5
VIAV,41,-0.091256375,8.0,0.5
DOCN,40,-0.10434518749999999,16.0,0.25
CORT,40,0.041976799999999995,10.0,0.4
JBS,39,-0.13635724999999999,4.0,0.0
TPL,39,-0.10331212499999999,8.0,0.125
AR,39,0.010331125000000002,8.0,0.5
LGN,39,-0.1913279375,16.0,0.0625
INTC,37,-0.10268250000000001,2.0,0.0
WIX,37,0.22077784615384616,13.0,0.9230769230769231
OKTA,37,0.16455683333333335,6.0,0.6666666666666666
MLTX,37,-0.25348950000000003,10.0,0.0
CIEN,37,0.001955727272727272,11.0,0.45454545454545453
STM,37,-0.243438,5.0,0.0
CHYM,36,0.099644375,32.0,0.5
CROX,36,-0.13887757142857143,7.0,0.0
ACMR,36,-0.2296830625,16.0,0.0
POWL,36,-0.22930950000000003,6.0,0.0
ALGM,35,-0.21395779999999998,5.0,0.0
SGML,35,-0.11272825000000002,24.0,0.2916666666666667
FORM,35,0.099542,3.0,0.6666666666666666
VSAT,35,-0.09764266666666667,3.0,0.0
EWY,35,-0.08265,1.0,0.0
PTEN,34,-0.0008889285714285702,14.0,0.5714285714285714
MRNA,34,0.5069708461538461,13.0,0.5384615384615384
TVTX,33,-0.07597808333333333,12.0,0.25
TGTX,33,-0.070678625,8.0,0.125
TTMI,33,-0.2596715,2.0,0.0
MU,32,-0.151388,3.0,0.0
HUM,32,-0.09454800000000001,6.0,0.0
PBF,32,0.023129133333333333,15.0,0.6666666666666666
APA,32,0.085261,7.0,1.0
LITE,32,0.04540125,12.0,0.5833333333333334
AMKR,31,0.017427,1.0,1.0
AG,31,-0.08099350000000001,14.0,0.14285714285714285
GFS,31,-0.4609275,2.0,0.0
CHTR,31,,,
CVE,31,0.0479185,2.0,1.0
TER,30,0.059898,1.0,1.0
CGON,30,-0.0224595,4.0,0.25
EQNR,30,0.17527916666666668,6.0,0.8333333333333334
TTAN,30,-0.04592890909090908,11.0,0.2727272727272727
LBRDK,30,,,
WDC,30,-0.173158,1.0,0.0
LBRT,29,-0.2134938,5.0,0.0
ALB,29,-0.0293395,12.0,0.5
SPHR,29,-0.0609174,15.0,0.4666666666666667
CBRL,29,-0.0354145,6.0,0.3333333333333333
WLK,29,-0.08146728571428571,7.0,0.0
OSCR,29,-0.077648,1.0,0.0
MUR,29,-0.08298425,4.0,0.25
NE,28,0.021161375,8.0,0.625
CNC,28,-0.149901,1.0,0.0
SITM,28,-0.06992728571428572,7.0,0.2857142857142857
HAL,28,-0.032770428571428575,7.0,0.2857142857142857
TSEM,27,0.050021,2.0,1.0
LSCC,27,-0.12163183333333333,12.0,0.08333333333333333
OVV,27,0.037874222222222226,9.0,1.0
LQDA,26,-0.06465585714285714,7.0,0.5714285714285714
FRO,26,0.0627122,5.0,1.0
MTDR,26,-0.017930999999999996,4.0,0.25
AGI,26,0.03654405882352941,17.0,0.7647058823529411
VAL,26,0.009622499999999999,2.0,0.5
RRC,26,-0.0022005,2.0,0.5
RHI,26,0.03479,1.0,1.0
SYNA,26,-0.256284,5.0,0.0
PBR,26,-0.008899125,8.0,0.25
ATRO,26,-0.15623879999999998,5.0,0.0
DAR,26,-0.005614000000000001,7.0,0.42857142857142855
DINO,26,,,
TWLO,26,-0.05145954545454545,11.0,0.36363636363636365
PEN,26,-0.07080627272727273,11.0,0.0
UI,26,-0.015763874999999997,8.0,0.375
ZIM,26,-0.028710263157894735,19.0,0.3157894736842105
SQM,26,-0.059285142857142856,14.0,0.21428571428571427
UNG,26,-0.07218594117647059,17.0,0.11764705882352941
SOLS,25,-0.10996414285714286,7.0,0.0
RVMD,25,0.100052,1.0,1.0
BRKR,25,-0.11910766666666667,3.0,0.0
AKAM,25,-0.08224575,4.0,0.0
VSNT,25,-0.10715111111111111,18.0,0.0
JBL,25,-0.084502,2.0,0.0
LTH,25,-0.09116874999999999,4.0,0.25
HNGE,25,-0.10021233333333333,6.0,0.0
CRK,25,-0.02113741666666667,12.0,0.3333333333333333
AU,25,0.23267799999999997,3.0,1.0
ONTO,25,0.182055,1.0,1.0
ENTG,25,0.0624515,2.0,0.5
PM,25,-0.08208,3.0,0.0
DOW,25,-0.019349,1.0,0.0
SM,24,0.04610475,4.0,0.75
CAVA,24,-0.24592572727272727,11.0,0.09090909090909091
VRSN,24,0.038894333333333336,3.0,1.0
GH,24,-0.10909857142857142,7.0,0.0
MSTR,24,0.1738540909090909,11.0,0.7272727272727273
HIMS,24,-0.19922425,24.0,0.20833333333333334
SBAC,24,-0.13629366666666667,3.0,0.0
SEI,24,-0.049230800000000005,10.0,0.4
OMDA,24,,,
PR,24,-0.0011768,5.0,0.2
BBWI,24,-0.11135425,8.0,0.0
EAT,24,0.0314226,5.0,0.4
BTU,24,-0.020259500000000003,12.0,0.25
CENX,24,-0.0768515,8.0,0.375
OGN,24,-0.093389,1.0,0.0
EQT,24,-0.007318428571428572,7.0,0.42857142857142855
