sector,count,avg_edge,max_edge,horizon
Unknown,4,0.6664866228452266,1.9971146223783722,120d
Healthcare,28,0.3561285833741343,0.8917411559229299,120d
Technology,39,0.33824311986840705,0.8563746735264876,120d
Industrials,12,0.3184815725449401,0.747589165336118,120d
Biotech,4,0.29310959326494285,0.3507028266258352,120d
Communication Services,7,0.28720633788168914,0.4414360819829821,120d
Materials,5,0.25533284177841276,0.3918770287811138,120d
Energy,14,0.22855392391758592,0.37247620488025024,120d
Real Estate,4,0.21723666024224994,0.2690095220055921,120d
Semiconductors,5,0.21712870970617063,0.3186324631803745,120d
Financials,5,0.21481194448957916,0.29855279834368975,120d
Consumer Discretionary,3,0.20769084129092305,0.2279126278171859,120d
Consumer Staples,3,0.20362143935695862,0.22099242925039053,120d
Unknown,5,0.12297817824091879,0.3164935541552254,20d
Technology,30,0.09897000554102783,0.22410029719518976,20d
Healthcare,15,0.09464957059658088,0.19829783314302207,20d
Energy,44,0.09416822315245078,0.16847003082965029,20d
Utilities,1,0.08858760029818313,0.08858760029818313,20d
Financials,2,0.08595303902110432,0.10350303240516495,20d
Industrials,11,0.08346461335623513,0.1170300222038595,20d
Consumer Discretionary,6,0.08222976992525174,0.10506980333460936,20d
Materials,5,0.08066394846993508,0.0926245462536478,20d
Communication Services,6,0.07736780836408559,0.09455316613265707,20d
Consumer Staples,6,0.07482603983102305,0.08700629877078003,20d
Defense,2,0.06955775801438274,0.0730274548641836,20d
Consumer Discretionary,1,0.11503680971276176,0.11503680971276176,5d
Industrials,2,0.06949059374359712,0.0851113913333279,5d
Technology,3,0.06091483191971803,0.07278556058546748,5d
Unknown,4,0.2686012896825223,0.6434475884408892,60d
Utilities,1,0.2497664677081125,0.2497664677081125,60d
Financials,1,0.2062113421691697,0.2062113421691697,60d
Semiconductors,5,0.20316257681437042,0.35063219996765593,60d
Biotech,1,0.20075006214957702,0.20075006214957702,60d
Technology,42,0.19966615553534195,0.432974393530143,60d
Healthcare,15,0.19852897663906652,0.4775453530609881,60d
Energy,34,0.1799946806414043,0.42903972213228825,60d
Industrials,9,0.16706272973337896,0.2785338612846828,60d
Communication Services,7,0.16137010394483525,0.29995582796860076,60d
Consumer Discretionary,3,0.15743406225681109,0.19164480923694882,60d
Materials,5,0.15217635808672042,0.18310128909373846,60d
Consumer Staples,5,0.1447428314672655,0.21543272356288945,60d
Energy Transition,1,0.13149627425940258,0.13149627425940258,60d
